1 vs 14 - Home Chance: 19, Away Chance: 6 - Home Possession: 76, Away_Possession: 24
100 vs 89 - Home Chance: 3, Away Chance: 23 - Home Possession: 25, Away_Possession: 75
98 vs 87 - Home Chance: 5, Away Chance: 17 - Home Possession: 23, Away_Possession: 77
95 vs 85 - Home Chance: 4, Away Chance: 20 - Home Possession: 29, Away_Possession: 71
93 vs 83 - Home Chance: 4, Away Chance: 19 - Home Possession: 26, Away_Possession: 74
91 vs 82 - Home Chance: 19, Away Chance: 1 - Home Possession: 80, Away_Possession: 20
90 vs 84 - Home Chance: 14, Away Chance: 2 - Home Possession: 77, Away_Possession: 23
88 vs 86 - Home Chance: 21, Away Chance: 6 - Home Possession: 78, Away_Possession: 22
101 vs 114 - Home Chance: 3, Away Chance: 24 - Home Possession: 30, Away_Possession: 70
117 vs 112 - Home Chance: 6, Away Chance: 18 - Home Possession: 25, Away_Possession: 75
119 vs 116 - Home Chance: 3, Away Chance: 20 - Home Possession: 22, Away_Possession: 78
120 vs 109 - Home Chance: 5, Away Chance: 20 - Home Possession: 20, Away_Possession: 80
118 vs 107 - Home Chance: 24, Away Chance: 8 - Home Possession: 75, Away_Possession: 25
115 vs 105 - Home Chance: 3, Away Chance: 18 - Home Possession: 28, Away_Possession: 72
113 vs 103 - Home Chance: 14, Away Chance: 4 - Home Possession: 78, Away_Possession: 22
111 vs 102 - Home Chance: 23, Away Chance: 6 - Home Possession: 79, Away_Possession: 21
110 vs 104 - Home Chance: 5, Away Chance: 18 - Home Possession: 22, Away_Possession: 78
108 vs 106 - Home Chance: 4, Away Chance: 20 - Home Possession: 29, Away_Possession: 71
121 vs 134 - Home Chance: 6, Away Chance: 21 - Home Possession: 22, Away_Possession: 78
137 vs 132 - Home Chance: 24, Away Chance: 3 - Home Possession: 70, Away_Possession: 30
139 vs 136 - Home Chance: 19, Away Chance: 2 - Home Possession: 72, Away_Possession: 28
140 vs 129 - Home Chance: 29, Away Chance: 4 - Home Possession: 71, Away_Possession: 29
138 vs 127 - Home Chance: 25, Away Chance: 7 - Home Possession: 78, Away_Possession: 22
135 vs 125 - Home Chance: 18, Away Chance: 1 - Home Possession: 74, Away_Possession: 26
133 vs 123 - Home Chance: 9, Away Chance: 15 - Home Possession: 38, Away_Possession: 62
131 vs 122 - Home Chance: 23, Away Chance: 2 - Home Possession: 71, Away_Possession: 29
130 vs 124 - Home Chance: 5, Away Chance: 23 - Home Possession: 25, Away_Possession: 75
128 vs 126 - Home Chance: 16, Away Chance: 4 - Home Possession: 80, Away_Possession: 20
141 vs 154 - Home Chance: 19, Away Chance: 2 - Home Possession: 70, Away_Possession: 30
157 vs 152 - Home Chance: 21, Away Chance: 5 - Home Possession: 77, Away_Possession: 23
159 vs 156 - Home Chance: 30, Away Chance: 5 - Home Possession: 77, Away_Possession: 23
160 vs 149 - Home Chance: 25, Away Chance: 5 - Home Possession: 72, Away_Possession: 28
158 vs 147 - Home Chance: 3, Away Chance: 23 - Home Possession: 29, Away_Possession: 71
155 vs 145 - Home Chance: 21, Away Chance: 4 - Home Possession: 73, Away_Possession: 27
153 vs 143 - Home Chance: 7, Away Chance: 23 - Home Possession: 23, Away_Possession: 77
151 vs 142 - Home Chance: 25, Away Chance: 5 - Home Possession: 78, Away_Possession: 22
150 vs 144 - Home Chance: 7, Away Chance: 21 - Home Possession: 25, Away_Possession: 75
148 vs 146 - Home Chance: 17, Away Chance: 8 - Home Possession: 68, Away_Possession: 32
161 vs 174 - Home Chance: 4, Away Chance: 19 - Home Possession: 23, Away_Possession: 77
177 vs 172 - Home Chance: 12, Away Chance: 4 - Home Possession: 75, Away_Possession: 25
179 vs 176 - Home Chance: 13, Away Chance: 7 - Home Possession: 65, Away_Possession: 35
180 vs 169 - Home Chance: 2, Away Chance: 21 - Home Possession: 21, Away_Possession: 79
178 vs 167 - Home Chance: 23, Away Chance: 4 - Home Possession: 74, Away_Possession: 26
175 vs 165 - Home Chance: 4, Away Chance: 16 - Home Possession: 20, Away_Possession: 80
173 vs 163 - Home Chance: 4, Away Chance: 23 - Home Possession: 30, Away_Possession: 70
171 vs 162 - Home Chance: 4, Away Chance: 23 - Home Possession: 23, Away_Possession: 77
170 vs 164 - Home Chance: 24, Away Chance: 3 - Home Possession: 79, Away_Possession: 21
168 vs 166 - Home Chance: 18, Away Chance: 6 - Home Possession: 75, Away_Possession: 25
181 vs 194 - Home Chance: 4, Away Chance: 28 - Home Possession: 23, Away_Possession: 77
197 vs 192 - Home Chance: 15, Away Chance: 6 - Home Possession: 71, Away_Possession: 29
199 vs 196 - Home Chance: 8, Away Chance: 13 - Home Possession: 38, Away_Possession: 62
200 vs 189 - Home Chance: 17, Away Chance: 4 - Home Possession: 76, Away_Possession: 24
198 vs 187 - Home Chance: 21, Away Chance: 11 - Home Possession: 66, Away_Possession: 34
195 vs 185 - Home Chance: 10, Away Chance: 15 - Home Possession: 40, Away_Possession: 60
193 vs 183 - Home Chance: 29, Away Chance: 1 - Home Possession: 78, Away_Possession: 22
191 vs 182 - Home Chance: 4, Away Chance: 16 - Home Possession: 20, Away_Possession: 80
190 vs 184 - Home Chance: 13, Away Chance: 4 - Home Possession: 76, Away_Possession: 24
188 vs 186 - Home Chance: 7, Away Chance: 15 - Home Possession: 32, Away_Possession: 68
201 vs 214 - Home Chance: 21, Away Chance: 3 - Home Possession: 72, Away_Possession: 28
217 vs 212 - Home Chance: 25, Away Chance: 2 - Home Possession: 70, Away_Possession: 30
219 vs 216 - Home Chance: 5, Away Chance: 15 - Home Possession: 25, Away_Possession: 75
220 vs 209 - Home Chance: 4, Away Chance: 19 - Home Possession: 22, Away_Possession: 78
218 vs 207 - Home Chance: 14, Away Chance: 7 - Home Possession: 67, Away_Possession: 33
215 vs 205 - Home Chance: 5, Away Chance: 21 - Home Possession: 21, Away_Possession: 79
213 vs 203 - Home Chance: 20, Away Chance: 5 - Home Possession: 80, Away_Possession: 20
211 vs 202 - Home Chance: 20, Away Chance: 6 - Home Possession: 77, Away_Possession: 23
210 vs 204 - Home Chance: 6, Away Chance: 22 - Home Possession: 21, Away_Possession: 79
208 vs 206 - Home Chance: 7, Away Chance: 25 - Home Possession: 22, Away_Possession: 78
221 vs 234 - Home Chance: 4, Away Chance: 18 - Home Possession: 21, Away_Possession: 79
237 vs 232 - Home Chance: 26, Away Chance: 5 - Home Possession: 72, Away_Possession: 28
239 vs 236 - Home Chance: 16, Away Chance: 3 - Home Possession: 78, Away_Possession: 22
240 vs 229 - Home Chance: 18, Away Chance: 2 - Home Possession: 73, Away_Possession: 27
238 vs 227 - Home Chance: 14, Away Chance: 12 - Home Possession: 54, Away_Possession: 46
235 vs 225 - Home Chance: 12, Away Chance: 18 - Home Possession: 40, Away_Possession: 60
233 vs 223 - Home Chance: 6, Away Chance: 14 - Home Possession: 30, Away_Possession: 70
231 vs 222 - Home Chance: 19, Away Chance: 5 - Home Possession: 79, Away_Possession: 21
230 vs 224 - Home Chance: 6, Away Chance: 16 - Home Possession: 27, Away_Possession: 73
228 vs 226 - Home Chance: 20, Away Chance: 5 - Home Possession: 80, Away_Possession: 20
