id,week_number,home,away,comp
162,25,9,5,Premier League
163,25,16,3,Premier League
164,25,12,2,Premier League
165,25,14,4,Premier League
166,25,17,6,Premier League
167,25,19,8,Premier League
168,25,20,10,Premier League
169,25,18,11,Premier League
170,25,15,13,Premier League
171,26,5,1,Premier League
172,26,3,7,Premier League
173,26,2,9,Premier League
174,26,4,16,Premier League
175,26,6,12,Premier League
176,26,8,14,Premier League
177,26,10,17,Premier League
178,26,11,19,Premier League
179,26,13,20,Premier League
180,26,15,18,Premier League
181,28,1,3,Premier League
182,28,5,2,Premier League
183,28,7,4,Premier League
184,28,9,6,Premier League
185,28,16,8,Premier League
186,28,12,10,Premier League
187,28,14,11,Premier League
188,28,17,13,Premier League
189,28,19,15,Premier League
190,28,20,18,Premier League
191,29,2,1,Premier League
192,29,4,3,Premier League
193,29,6,5,Premier League
194,29,8,7,Premier League
195,29,10,9,Premier League
196,29,11,16,Premier League
197,29,13,12,Premier League
198,29,15,14,Premier League
199,29,18,17,Premier League
200,29,20,19,Premier League
201,30,1,4,Premier League
202,30,2,6,Premier League
203,30,3,8,Premier League
204,30,5,10,Premier League
205,30,7,11,Premier League
206,30,9,13,Premier League
207,30,16,15,Premier League
208,30,12,18,Premier League
209,30,14,20,Premier League
210,30,17,19,Premier League
211,32,6,1,Premier League
212,32,8,4,Premier League
213,32,10,2,Premier League
214,32,11,3,Premier League
215,32,13,5,Premier League
216,32,15,7,Premier League
217,32,18,9,Premier League
218,32,20,16,Premier League
219,32,19,12,Premier League
220,32,17,14,Premier League
221,33,1,8,Premier League
222,33,6,10,Premier League
223,33,4,11,Premier League
224,33,2,13,Premier League
225,33,3,15,Premier League
226,33,5,18,Premier League
227,33,7,20,Premier League
228,33,9,19,Premier League
229,33,16,17,Premier League
230,33,12,14,Premier League
231,34,10,1,Premier League
232,34,11,8,Premier League
233,34,13,6,Premier League
234,34,15,4,Premier League
235,34,18,2,Premier League
236,34,20,3,Premier League
237,34,19,5,Premier League
238,34,17,7,Premier League
239,34,14,9,Premier League
240,34,12,16,Premier League
241,36,1,11,Premier League
242,36,10,13,Premier League
243,36,8,15,Premier League
244,36,6,18,Premier League
245,36,4,20,Premier League
246,36,2,19,Premier League
247,36,3,17,Premier League
248,36,5,14,Premier League
249,36,7,12,Premier League
250,36,9,16,Premier League
251,37,13,1,Premier League
252,37,15,11,Premier League
253,37,18,10,Premier League
254,37,20,8,Premier League
255,37,19,6,Premier League
256,37,17,4,Premier League
257,37,14,2,Premier League
258,37,12,3,Premier League
259,37,16,5,Premier League
260,37,9,7,Premier League
261,38,1,15,Premier League
262,38,13,18,Premier League
263,38,11,20,Premier League
264,38,10,19,Premier League
265,38,8,17,Premier League
266,38,6,14,Premier League
267,38,4,12,Premier League
268,38,2,16,Premier League
269,38,3,9,Premier League
270,38,5,7,Premier League
271,40,18,1,Premier League
272,40,20,15,Premier League
273,40,19,13,Premier League
274,40,17,11,Premier League
275,40,14,10,Premier League
276,40,12,8,Premier League
277,40,16,6,Premier League
278,40,9,4,Premier League
279,40,7,2,Premier League
280,40,5,3,Premier League
281,41,1,20,Premier League
282,41,18,19,Premier League
283,41,15,17,Premier League
284,41,13,14,Premier League
285,41,11,12,Premier League
286,41,10,16,Premier League
287,41,8,9,Premier League
288,41,6,7,Premier League
289,41,4,5,Premier League
290,41,2,3,Premier League
291,42,19,1,Premier League
292,42,17,20,Premier League
293,42,14,18,Premier League
294,42,12,15,Premier League
295,42,16,13,Premier League
296,42,9,11,Premier League
297,42,7,10,Premier League
298,42,5,8,Premier League
299,42,3,6,Premier League
300,42,2,4,Premier League
301,44,1,17,Premier League
302,44,19,14,Premier League
303,44,20,12,Premier League
304,44,18,16,Premier League
305,44,15,9,Premier League
306,44,13,7,Premier League
307,44,11,5,Premier League
308,44,10,3,Premier League
309,44,8,2,Premier League
310,44,6,4,Premier League
311,45,14,1,Premier League
312,45,12,17,Premier League
313,45,16,19,Premier League
314,45,9,20,Premier League
315,45,7,18,Premier League
316,45,5,15,Premier League
317,45,3,13,Premier League
318,45,2,11,Premier League
319,45,4,10,Premier League
320,45,6,8,Premier League
321,46,1,12,Premier League
322,46,14,16,Premier League
323,46,17,9,Premier League
324,46,19,7,Premier League
325,46,20,5,Premier League
326,46,18,3,Premier League
327,46,15,2,Premier League
328,46,13,4,Premier League
329,46,11,6,Premier League
330,46,10,8,Premier League
331,48,16,1,Premier League
332,48,9,12,Premier League
333,48,7,14,Premier League
334,48,5,17,Premier League
335,48,3,19,Premier League
336,48,2,20,Premier League
337,48,4,18,Premier League
338,48,6,15,Premier League
339,48,8,13,Premier League
340,48,10,11,Premier League
341,49,1,9,Premier League
342,49,16,7,Premier League
343,49,12,5,Premier League
344,49,14,3,Premier League
345,49,17,2,Premier League
346,49,19,4,Premier League
347,49,20,6,Premier League
348,49,18,8,Premier League
349,49,15,10,Premier League
350,49,13,11,Premier League
351,50,7,1,Premier League
352,50,5,9,Premier League
353,50,3,16,Premier League
354,50,2,12,Premier League
355,50,4,14,Premier League
356,50,6,17,Premier League
357,50,8,19,Premier League
358,50,10,20,Premier League
359,50,11,18,Premier League
360,50,13,15,Premier League
361,52,1,5,Premier League
362,52,7,3,Premier League
363,52,9,2,Premier League
364,52,16,4,Premier League
365,52,12,6,Premier League
366,52,14,8,Premier League
367,52,17,10,Premier League
368,52,19,11,Premier League
369,52,20,13,Premier League
370,52,18,15,Premier League
371,53,3,1,Premier League
372,53,2,5,Premier League
373,53,4,7,Premier League
374,53,6,9,Premier League
375,53,8,16,Premier League
376,53,10,12,Premier League
377,53,11,14,Premier League
378,53,13,17,Premier League
379,53,15,19,Premier League
380,53,18,20,Premier League
381,4,21,22,Championship
382,4,23,24,Championship
383,4,25,26,Championship
384,4,27,28,Championship
385,4,29,30,Championship
386,4,36,31,Championship
387,4,32,33,Championship
388,4,34,35,Championship
389,4,37,38,Championship
390,4,39,40,Championship
391,5,24,21,Championship
392,5,26,22,Championship
393,5,28,23,Championship
394,5,30,25,Championship
395,5,31,27,Championship
396,5,33,29,Championship
397,5,35,36,Championship
398,5,38,32,Championship
399,5,40,34,Championship
400,5,39,37,Championship
401,6,21,26,Championship
402,6,24,28,Championship
403,6,22,30,Championship
404,6,23,31,Championship
405,6,25,33,Championship
406,6,27,35,Championship
407,6,29,38,Championship
408,6,36,40,Championship
409,6,32,39,Championship
410,6,34,37,Championship
411,8,28,21,Championship
412,8,30,26,Championship
413,8,31,24,Championship
414,8,33,22,Championship
415,8,35,23,Championship
416,8,38,25,Championship
417,8,40,27,Championship
418,8,39,29,Championship
419,8,37,36,Championship
420,8,34,32,Championship
421,9,21,30,Championship
422,9,28,31,Championship
423,9,26,33,Championship
424,9,24,35,Championship
425,9,22,38,Championship
426,9,23,40,Championship
427,9,25,39,Championship
428,9,27,37,Championship
429,9,29,34,Championship
430,9,36,32,Championship
431,10,31,21,Championship
432,10,33,30,Championship
433,10,35,28,Championship
434,10,38,26,Championship
435,10,40,24,Championship
436,10,39,22,Championship
437,10,37,23,Championship
438,10,34,25,Championship
439,10,32,27,Championship
440,10,36,29,Championship
441,12,21,33,Championship
442,12,31,35,Championship
443,12,30,38,Championship
444,12,28,40,Championship
445,12,26,39,Championship
446,12,24,37,Championship
447,12,22,34,Championship
448,12,23,32,Championship
449,12,25,36,Championship
450,12,27,29,Championship
451,13,35,21,Championship
452,13,38,33,Championship
453,13,40,31,Championship
454,13,39,30,Championship
455,13,37,28,Championship
456,13,34,26,Championship
457,13,32,24,Championship
458,13,36,22,Championship
459,13,29,23,Championship
460,13,27,25,Championship
461,14,21,38,Championship
462,14,35,40,Championship
463,14,33,39,Championship
464,14,31,37,Championship
465,14,30,34,Championship
466,14,28,32,Championship
467,14,26,36,Championship
468,14,24,29,Championship
469,14,22,27,Championship
470,14,23,25,Championship
471,16,40,21,Championship
472,16,39,38,Championship
473,16,37,35,Championship
474,16,34,33,Championship
475,16,32,31,Championship
476,16,36,30,Championship
477,16,29,28,Championship
478,16,27,26,Championship
479,16,25,24,Championship
480,16,23,22,Championship
481,17,21,39,Championship
482,17,40,37,Championship
483,17,38,34,Championship
484,17,35,32,Championship
485,17,33,36,Championship
486,17,31,29,Championship
487,17,30,27,Championship
488,17,28,25,Championship
489,17,26,23,Championship
490,17,24,22,Championship
491,18,37,21,Championship
492,18,34,39,Championship
493,18,32,40,Championship
494,18,36,38,Championship
495,18,29,35,Championship
496,18,27,33,Championship
497,18,25,31,Championship
498,18,23,30,Championship
499,18,22,28,Championship
500,18,24,26,Championship
501,20,21,34,Championship
502,20,37,32,Championship
503,20,39,36,Championship
504,20,40,29,Championship
505,20,38,27,Championship
506,20,35,25,Championship
507,20,33,23,Championship
508,20,31,22,Championship
509,20,30,24,Championship
510,20,28,26,Championship
511,21,32,21,Championship
512,21,36,34,Championship
513,21,29,37,Championship
514,21,27,39,Championship
515,21,25,40,Championship
516,21,23,38,Championship
517,21,22,35,Championship
518,21,24,33,Championship
519,21,26,31,Championship
520,21,28,30,Championship
521,22,21,36,Championship
522,22,32,29,Championship
523,22,34,27,Championship
524,22,37,25,Championship
525,22,39,23,Championship
526,22,40,22,Championship
527,22,38,24,Championship
528,22,35,26,Championship
529,22,33,28,Championship
530,22,31,30,Championship
531,24,29,21,Championship
532,24,27,36,Championship
533,24,25,32,Championship
534,24,23,34,Championship
535,24,22,37,Championship
536,24,24,39,Championship
537,24,26,40,Championship
538,24,28,38,Championship
539,24,30,35,Championship
540,24,31,33,Championship
541,25,21,27,Championship
542,25,29,25,Championship
543,25,36,23,Championship
544,25,32,22,Championship
545,25,34,24,Championship
546,25,37,26,Championship
547,25,39,28,Championship
548,25,40,30,Championship
549,25,38,31,Championship
550,25,35,33,Championship
551,26,25,21,Championship
552,26,23,27,Championship
553,26,22,29,Championship
554,26,24,36,Championship
555,26,26,32,Championship
556,26,28,34,Championship
557,26,30,37,Championship
558,26,31,39,Championship
559,26,33,40,Championship
560,26,35,38,Championship
561,28,21,23,Championship
562,28,25,22,Championship
563,28,27,24,Championship
564,28,29,26,Championship
565,28,36,28,Championship
566,28,32,30,Championship
567,28,34,31,Championship
568,28,37,33,Championship
569,28,39,35,Championship
570,28,40,38,Championship
571,29,22,21,Championship
572,29,24,23,Championship
573,29,26,25,Championship
574,29,28,27,Championship
575,29,30,29,Championship
576,29,31,36,Championship
577,29,33,32,Championship
578,29,35,34,Championship
579,29,38,37,Championship
580,29,40,39,Championship
581,30,21,24,Championship
582,30,22,26,Championship
583,30,23,28,Championship
584,30,25,30,Championship
585,30,27,31,Championship
586,30,29,33,Championship
587,30,36,35,Championship
588,30,32,38,Championship
589,30,34,40,Championship
590,30,37,39,Championship
591,32,26,21,Championship
592,32,28,24,Championship
593,32,30,22,Championship
594,32,31,23,Championship
595,32,33,25,Championship
596,32,35,27,Championship
597,32,38,29,Championship
598,32,40,36,Championship
599,32,39,32,Championship
600,32,37,34,Championship
601,33,21,28,Championship
602,33,26,30,Championship
603,33,24,31,Championship
604,33,22,33,Championship
605,33,23,35,Championship
606,33,25,38,Championship
607,33,27,40,Championship
608,33,29,39,Championship
609,33,36,37,Championship
610,33,32,34,Championship
611,34,30,21,Championship
612,34,31,28,Championship
613,34,33,26,Championship
614,34,35,24,Championship
615,34,38,22,Championship
616,34,40,23,Championship
617,34,39,25,Championship
618,34,37,27,Championship
619,34,34,29,Championship
620,34,32,36,Championship
621,36,21,31,Championship
622,36,30,33,Championship
623,36,28,35,Championship
624,36,26,38,Championship
625,36,24,40,Championship
626,36,22,39,Championship
627,36,23,37,Championship
628,36,25,34,Championship
629,36,27,32,Championship
630,36,29,36,Championship
631,37,33,21,Championship
632,37,35,31,Championship
633,37,38,30,Championship
634,37,40,28,Championship
635,37,39,26,Championship
636,37,37,24,Championship
637,37,34,22,Championship
638,37,32,23,Championship
639,37,36,25,Championship
640,37,29,27,Championship
641,38,21,35,Championship
642,38,33,38,Championship
643,38,31,40,Championship
644,38,30,39,Championship
645,38,28,37,Championship
646,38,26,34,Championship
647,38,24,32,Championship
648,38,22,36,Championship
649,38,23,29,Championship
650,38,25,27,Championship
651,40,38,21,Championship
652,40,40,35,Championship
653,40,39,33,Championship
654,40,37,31,Championship
655,40,34,30,Championship
656,40,32,28,Championship
657,40,36,26,Championship
658,40,29,24,Championship
659,40,27,22,Championship
660,40,25,23,Championship
661,41,21,40,Championship
662,41,38,39,Championship
663,41,35,37,Championship
664,41,33,34,Championship
665,41,31,32,Championship
666,41,30,36,Championship
667,41,28,29,Championship
668,41,26,27,Championship
669,41,24,25,Championship
670,41,22,23,Championship
671,42,39,21,Championship
672,42,37,40,Championship
673,42,34,38,Championship
674,42,32,35,Championship
675,42,36,33,Championship
676,42,29,31,Championship
677,42,27,30,Championship
678,42,25,28,Championship
679,42,23,26,Championship
680,42,22,24,Championship
681,44,21,37,Championship
682,44,39,34,Championship
683,44,40,32,Championship
684,44,38,36,Championship
685,44,35,29,Championship
686,44,33,27,Championship
687,44,31,25,Championship
688,44,30,23,Championship
689,44,28,22,Championship
690,44,26,24,Championship
691,45,34,21,Championship
692,45,32,37,Championship
693,45,36,39,Championship
694,45,29,40,Championship
695,45,27,38,Championship
696,45,25,35,Championship
697,45,23,33,Championship
698,45,22,31,Championship
699,45,24,30,Championship
700,45,26,28,Championship
701,46,21,32,Championship
702,46,34,36,Championship
703,46,37,29,Championship
704,46,39,27,Championship
705,46,40,25,Championship
706,46,38,23,Championship
707,46,35,22,Championship
708,46,33,24,Championship
709,46,31,26,Championship
710,46,30,28,Championship
711,48,36,21,Championship
712,48,29,32,Championship
713,48,27,34,Championship
714,48,25,37,Championship
715,48,23,39,Championship
716,48,22,40,Championship
717,48,24,38,Championship
718,48,26,35,Championship
719,48,28,33,Championship
720,48,30,31,Championship
721,49,21,29,Championship
722,49,36,27,Championship
723,49,32,25,Championship
724,49,34,23,Championship
725,49,37,22,Championship
726,49,39,24,Championship
727,49,40,26,Championship
728,49,38,28,Championship
729,49,35,30,Championship
730,49,33,31,Championship
731,50,27,21,Championship
732,50,25,29,Championship
733,50,23,36,Championship
734,50,22,32,Championship
735,50,24,34,Championship
736,50,26,37,Championship
737,50,28,39,Championship
738,50,30,40,Championship
739,50,31,38,Championship
740,50,33,35,Championship
741,52,21,25,Championship
742,52,27,23,Championship
743,52,29,22,Championship
744,52,36,24,Championship
745,52,32,26,Championship
746,52,34,28,Championship
747,52,37,30,Championship
748,52,39,31,Championship
749,52,40,33,Championship
750,52,38,35,Championship
751,53,23,21,Championship
752,53,22,25,Championship
753,53,24,27,Championship
754,53,26,29,Championship
755,53,28,36,Championship
756,53,30,32,Championship
757,53,31,34,Championship
758,53,33,37,Championship
759,53,35,39,Championship
760,53,38,40,Championship
761,4,41,42,Ligue 1
762,4,43,44,Ligue 1
763,4,45,46,Ligue 1
764,4,47,48,Ligue 1
765,4,49,50,Ligue 1
766,4,56,51,Ligue 1
767,4,52,53,Ligue 1
768,4,54,55,Ligue 1
769,4,57,58,Ligue 1
770,4,59,60,Ligue 1
771,5,44,41,Ligue 1
772,5,46,42,Ligue 1
773,5,48,43,Ligue 1
774,5,50,45,Ligue 1
775,5,51,47,Ligue 1
776,5,53,49,Ligue 1
777,5,55,56,Ligue 1
778,5,58,52,Ligue 1
779,5,60,54,Ligue 1
780,5,59,57,Ligue 1
781,6,41,46,Ligue 1
782,6,44,48,Ligue 1
783,6,42,50,Ligue 1
784,6,43,51,Ligue 1
785,6,45,53,Ligue 1
786,6,47,55,Ligue 1
787,6,49,58,Ligue 1
788,6,56,60,Ligue 1
789,6,52,59,Ligue 1
790,6,54,57,Ligue 1
791,8,48,41,Ligue 1
792,8,50,46,Ligue 1
793,8,51,44,Ligue 1
794,8,53,42,Ligue 1
795,8,55,43,Ligue 1
796,8,58,45,Ligue 1
797,8,60,47,Ligue 1
798,8,59,49,Ligue 1
799,8,57,56,Ligue 1
800,8,54,52,Ligue 1
801,9,41,50,Ligue 1
802,9,48,51,Ligue 1
803,9,46,53,Ligue 1
804,9,44,55,Ligue 1
805,9,42,58,Ligue 1
806,9,43,60,Ligue 1
807,9,45,59,Ligue 1
808,9,47,57,Ligue 1
809,9,49,54,Ligue 1
810,9,56,52,Ligue 1
811,10,51,41,Ligue 1
812,10,53,50,Ligue 1
813,10,55,48,Ligue 1
814,10,58,46,Ligue 1
815,10,60,44,Ligue 1
816,10,59,42,Ligue 1
817,10,57,43,Ligue 1
818,10,54,45,Ligue 1
819,10,52,47,Ligue 1
820,10,56,49,Ligue 1
821,12,41,53,Ligue 1
822,12,51,55,Ligue 1
823,12,50,58,Ligue 1
824,12,48,60,Ligue 1
825,12,46,59,Ligue 1
826,12,44,57,Ligue 1
827,12,42,54,Ligue 1
828,12,43,52,Ligue 1
829,12,45,56,Ligue 1
830,12,47,49,Ligue 1
831,13,55,41,Ligue 1
832,13,58,53,Ligue 1
833,13,60,51,Ligue 1
834,13,59,50,Ligue 1
835,13,57,48,Ligue 1
836,13,54,46,Ligue 1
837,13,52,44,Ligue 1
838,13,56,42,Ligue 1
839,13,49,43,Ligue 1
840,13,47,45,Ligue 1
841,14,41,58,Ligue 1
842,14,55,60,Ligue 1
843,14,53,59,Ligue 1
844,14,51,57,Ligue 1
845,14,50,54,Ligue 1
846,14,48,52,Ligue 1
847,14,46,56,Ligue 1
848,14,44,49,Ligue 1
849,14,42,47,Ligue 1
850,14,43,45,Ligue 1
851,16,60,41,Ligue 1
852,16,59,58,Ligue 1
853,16,57,55,Ligue 1
854,16,54,53,Ligue 1
855,16,52,51,Ligue 1
856,16,56,50,Ligue 1
857,16,49,48,Ligue 1
858,16,47,46,Ligue 1
859,16,45,44,Ligue 1
860,16,43,42,Ligue 1
861,17,41,59,Ligue 1
862,17,60,57,Ligue 1
863,17,58,54,Ligue 1
864,17,55,52,Ligue 1
865,17,53,56,Ligue 1
866,17,51,49,Ligue 1
867,17,50,47,Ligue 1
868,17,48,45,Ligue 1
869,17,46,43,Ligue 1
870,17,44,42,Ligue 1
871,18,57,41,Ligue 1
872,18,54,59,Ligue 1
873,18,52,60,Ligue 1
874,18,56,58,Ligue 1
875,18,49,55,Ligue 1
876,18,47,53,Ligue 1
877,18,45,51,Ligue 1
878,18,43,50,Ligue 1
879,18,42,48,Ligue 1
880,18,44,46,Ligue 1
881,20,41,54,Ligue 1
882,20,57,52,Ligue 1
883,20,59,56,Ligue 1
884,20,60,49,Ligue 1
885,20,58,47,Ligue 1
886,20,55,45,Ligue 1
887,20,53,43,Ligue 1
888,20,51,42,Ligue 1
889,20,50,44,Ligue 1
890,20,48,46,Ligue 1
891,21,52,41,Ligue 1
892,21,56,54,Ligue 1
893,21,49,57,Ligue 1
894,21,47,59,Ligue 1
895,21,45,60,Ligue 1
896,21,43,58,Ligue 1
897,21,42,55,Ligue 1
898,21,44,53,Ligue 1
899,21,46,51,Ligue 1
900,21,48,50,Ligue 1
901,22,41,56,Ligue 1
902,22,52,49,Ligue 1
903,22,54,47,Ligue 1
904,22,57,45,Ligue 1
905,22,59,43,Ligue 1
906,22,60,42,Ligue 1
907,22,58,44,Ligue 1
908,22,55,46,Ligue 1
909,22,53,48,Ligue 1
910,22,51,50,Ligue 1
911,24,49,41,Ligue 1
912,24,47,56,Ligue 1
913,24,45,52,Ligue 1
914,24,43,54,Ligue 1
915,24,42,57,Ligue 1
916,24,44,59,Ligue 1
917,24,46,60,Ligue 1
918,24,48,58,Ligue 1
919,24,50,55,Ligue 1
920,24,51,53,Ligue 1
921,25,41,47,Ligue 1
922,25,49,45,Ligue 1
923,25,56,43,Ligue 1
924,25,52,42,Ligue 1
925,25,54,44,Ligue 1
926,25,57,46,Ligue 1
927,25,59,48,Ligue 1
928,25,60,50,Ligue 1
929,25,58,51,Ligue 1
930,25,55,53,Ligue 1
931,26,45,41,Ligue 1
932,26,43,47,Ligue 1
933,26,42,49,Ligue 1
934,26,44,56,Ligue 1
935,26,46,52,Ligue 1
936,26,48,54,Ligue 1
937,26,50,57,Ligue 1
938,26,51,59,Ligue 1
939,26,53,60,Ligue 1
940,26,55,58,Ligue 1
941,28,41,43,Ligue 1
942,28,45,42,Ligue 1
943,28,47,44,Ligue 1
944,28,49,46,Ligue 1
945,28,56,48,Ligue 1
946,28,52,50,Ligue 1
947,28,54,51,Ligue 1
948,28,57,53,Ligue 1
949,28,59,55,Ligue 1
950,28,60,58,Ligue 1
951,29,42,41,Ligue 1
952,29,44,43,Ligue 1
953,29,46,45,Ligue 1
954,29,48,47,Ligue 1
955,29,50,49,Ligue 1
956,29,51,56,Ligue 1
957,29,53,52,Ligue 1
958,29,55,54,Ligue 1
959,29,58,57,Ligue 1
960,29,60,59,Ligue 1
961,30,41,44,Ligue 1
962,30,42,46,Ligue 1
963,30,43,48,Ligue 1
964,30,45,50,Ligue 1
965,30,47,51,Ligue 1
966,30,49,53,Ligue 1
967,30,56,55,Ligue 1
968,30,52,58,Ligue 1
969,30,54,60,Ligue 1
970,30,57,59,Ligue 1
971,32,46,41,Ligue 1
972,32,48,44,Ligue 1
973,32,50,42,Ligue 1
974,32,51,43,Ligue 1
975,32,53,45,Ligue 1
976,32,55,47,Ligue 1
977,32,58,49,Ligue 1
978,32,60,56,Ligue 1
979,32,59,52,Ligue 1
980,32,57,54,Ligue 1
981,33,41,48,Ligue 1
982,33,46,50,Ligue 1
983,33,44,51,Ligue 1
984,33,42,53,Ligue 1
985,33,43,55,Ligue 1
986,33,45,58,Ligue 1
987,33,47,60,Ligue 1
988,33,49,59,Ligue 1
989,33,56,57,Ligue 1
990,33,52,54,Ligue 1
991,34,50,41,Ligue 1
992,34,51,48,Ligue 1
993,34,53,46,Ligue 1
994,34,55,44,Ligue 1
995,34,58,42,Ligue 1
996,34,60,43,Ligue 1
997,34,59,45,Ligue 1
998,34,57,47,Ligue 1
999,34,54,49,Ligue 1
1000,34,52,56,Ligue 1
1001,36,41,51,Ligue 1
1002,36,50,53,Ligue 1
1003,36,48,55,Ligue 1
1004,36,46,58,Ligue 1
1005,36,44,60,Ligue 1
1006,36,42,59,Ligue 1
1007,36,43,57,Ligue 1
1008,36,45,54,Ligue 1
1009,36,47,52,Ligue 1
1010,36,49,56,Ligue 1
1011,37,53,41,Ligue 1
1012,37,55,51,Ligue 1
1013,37,58,50,Ligue 1
1014,37,60,48,Ligue 1
1015,37,59,46,Ligue 1
1016,37,57,44,Ligue 1
1017,37,54,42,Ligue 1
1018,37,52,43,Ligue 1
1019,37,56,45,Ligue 1
1020,37,49,47,Ligue 1
1021,38,41,55,Ligue 1
1022,38,53,58,Ligue 1
1023,38,51,60,Ligue 1
1024,38,50,59,Ligue 1
1025,38,48,57,Ligue 1
1026,38,46,54,Ligue 1
1027,38,44,52,Ligue 1
1028,38,42,56,Ligue 1
1029,38,43,49,Ligue 1
1030,38,45,47,Ligue 1
1031,40,58,41,Ligue 1
1032,40,60,55,Ligue 1
1033,40,59,53,Ligue 1
1034,40,57,51,Ligue 1
1035,40,54,50,Ligue 1
1036,40,52,48,Ligue 1
1037,40,56,46,Ligue 1
1038,40,49,44,Ligue 1
1039,40,47,42,Ligue 1
1040,40,45,43,Ligue 1
1041,41,41,60,Ligue 1
1042,41,58,59,Ligue 1
1043,41,55,57,Ligue 1
1044,41,53,54,Ligue 1
1045,41,51,52,Ligue 1
1046,41,50,56,Ligue 1
1047,41,48,49,Ligue 1
1048,41,46,47,Ligue 1
1049,41,44,45,Ligue 1
1050,41,42,43,Ligue 1
1051,42,59,41,Ligue 1
1052,42,57,60,Ligue 1
1053,42,54,58,Ligue 1
1054,42,52,55,Ligue 1
